State,Year,Count,Latitude,Longitude
Alabama,2014,2,32.31823,-86.902298
Alabama,2015,4,32.31823,-86.902298
Alabama,2016,15,32.31823,-86.902298
Alabama,2017,7,32.31823,-86.902298
Alabama,2018,14,32.31823,-86.902298
Alabama,2019,12,32.31823,-86.902298
Alabama,2020,11,32.31823,-86.902298
Alabama,2021,23,32.31823,-86.902298
Alabama,2022,16,32.31823,-86.902298
Alaska,2014,1,66.160507,-153.369141
Alaska,2015,0,66.160507,-153.369141
Alaska,2016,0,66.160507,-153.369141
Alaska,2017,0,66.160507,-153.369141
Alaska,2018,0,66.160507,-153.369141
Alaska,2019,0,66.160507,-153.369141
Alaska,2020,3,66.160507,-153.369141
Alaska,2021,1,66.160507,-153.369141
Alaska,2022,0,66.160507,-153.369141
Arizona,2014,1,34.048927,-111.093735
Arizona,2015,6,34.048927,-111.093735
Arizona,2016,4,34.048927,-111.093735
Arizona,2017,5,34.048927,-111.093735
Arizona,2018,2,34.048927,-111.093735
Arizona,2019,5,34.048927,-111.093735
Arizona,2020,4,34.048927,-111.093735
Arizona,2021,5,34.048927,-111.093735
Arizona,2022,13,34.048927,-111.093735
Arkansas,2014,2,34.799999,-92.199997
Arkansas,2015,2,34.799999,-92.199997
Arkansas,2016,3,34.799999,-92.199997
Arkansas,2017,3,34.799999,-92.199997
Arkansas,2018,6,34.799999,-92.199997
Arkansas,2019,5,34.799999,-92.199997
Arkansas,2020,14,34.799999,-92.199997
Arkansas,2021,5,34.799999,-92.199997
Arkansas,2022,5,34.799999,-92.199997
California,2014,41,36.778259,-119.417931
California,2015,27,36.778259,-119.417931
California,2016,46,36.778259,-119.417931
California,2017,38,36.778259,-119.417931
California,2018,35,36.778259,-119.417931
California,2019,49,36.778259,-119.417931
California,2020,39,36.778259,-119.417931
California,2021,45,36.778259,-119.417931
California,2022,49,36.778259,-119.417931
Colorado,2014,2,39.113014,-105.358887
Colorado,2015,3,39.113014,-105.358887
Colorado,2016,4,39.113014,-105.358887
