Year,Quarter,State,Population,EM_Rate,Income,GDP
2023,1,Alabama,"5,080,054",2.466666667,51899.30556,215084.4
2023,2,Alabama,"5,080,054",2.2,51899.30556,215084.4
2023,3,Alabama,"5,080,054",2.133333333,51899.30556,215084.4
2023,4,Alabama,"5,080,054",2.266666667,51899.30556,215084.4
2023,1,Alaska,"731,571",3.766666667,68105.33333,50700.8
2023,2,Alaska,"731,571",3.666666667,68105.33333,50700.8
2023,3,Alaska,"731,571",3.933333333,68105.33333,50700.8
2023,4,Alaska,"731,571",3.788888889,68105.33333,50700.8
2023,1,Arizona,"7,462,606",3.666666667,60021.58333,362191.9
2023,2,Arizona,"7,462,606",3.433333333,60021.58333,362191.9
2023,3,Arizona,"7,462,606",3.8,60021.58333,362191.9
2023,4,Arizona,"7,462,606",3.633333333,60021.58333,362191.9
2023,1,Arkansas,"3,049,104",3.2,53388.02778,127312.2
2023,2,Arkansas,"3,049,104",2.7,53388.02778,127312.2
2023,3,Arkansas,"3,049,104",2.733333333,53388.02778,127312.2
2023,4,Arkansas,"3,049,104",2.877777778,53388.02778,127312.2
2023,1,California,"39,434,718",4.333333333,80546.5,2919913.3
2023,2,California,"39,434,718",4.533333333,80546.5,2919913.3
2023,3,California,"39,434,718",4.633333333,80546.5,2919913.3
2023,4,California,"39,434,718",4.5,80546.5,2919913.3
2023,1,Colorado,"5,950,626",2.833333333,76324.72222,390720.5
2023,2,Colorado,"5,950,626",2.8,76324.72222,390720.5
2023,3,Colorado,"5,950,626",3.066666667,76324.72222,390720.5
2023,4,Colorado,"5,950,626",2.9,76324.72222,390720.5
2023,1,Connecticut,"3,608,516",3.933333333,84576.38889,252808.8
2023,2,Connecticut,"3,608,516",3.733333333,84576.38889,252808.8
2023,3,Connecticut,"3,608,516",3.533333333,84576.38889,252808.8
2023,4,Connecticut,"3,608,516",3.733333333,84576.38889,252808.8
2023,1,Delaware,"1,021,280",4.533333333,63239.69444,66455.3
2023,2,Delaware,"1,021,280",4.233333333,63239.69444,66455.3
2023,3,Delaware,"1,021,280",4.1,63239.69444,66455.3
2023,4,Delaware,"1,021,280",4.288888889,63239.69444,66455.3
2023,1,District of Columbia,"689,010",4.666666667,100048.6944,130211.1
2023,2,District of Columbia,"689,010",5.066666667,100048.6944,130211.1
2023,3,District of Columbia,"689,010",5,100048.6944,130211.1
2023,4,District of Columbia,"689,010",4.911111111,100048.6944,130211.1
2023,1,Florida,"22,479,221",2.6,66427.5,1093648.4
2023,2,Florida,"22,479,221",2.6,66427.5,1093648.4
2023,3,Florida,"22,479,221",2.733333333,66427.5,1093648.4
2023,4,Florida,"22,479,221",2.644444444,66427.5,1093648.4
2023,1,Georgia,"11,013,192",3.1,58668.11111,600345.3
2023,2,Georgia,"11,013,192",3.166666667,58668.11111,600345.3
2023,3,Georgia,"11,013,192",3.3,58668.11111,600345.3
