State and area,Year,Quarter,Total,Rate
Alabama,2014,1,462418,7.133333333333333
Alabama,2014,2,449705,6.8999999999999995
Alabama,2014,3,430276,6.6000000000000005
Alabama,2014,4,407899,6.3
Alabama,2015,1,395682,6.099999999999999
Alabama,2015,2,398651,6.133333333333333
Alabama,2015,3,395371,6.166666666666667
Alabama,2015,4,391110,6.099999999999999
Alabama,2016,1,386867,6.033333333333334
Alabama,2016,2,379243,5.900000000000001
Alabama,2016,3,380178,5.900000000000001
Alabama,2016,4,375581,5.8
Alabama,2017,1,346099,5.233333333333333
Alabama,2017,2,305360,4.6000000000000005
Alabama,2017,3,277686,4.2
Alabama,2017,4,266526,4.0
Alabama,2018,1,265418,4.0
Alabama,2018,2,267973,4.0
Alabama,2018,3,264023,3.9333333333333336
Alabama,2018,4,258280,3.8333333333333335
Alabama,2019,1,243169,3.5666666666666664
Alabama,2019,2,214995,3.1333333333333333
Alabama,2019,3,202449,3.0
Alabama,2019,4,208103,3.033333333333333
Alabama,2020,1,222165,3.3000000000000003
Alabama,2020,2,734319,10.933333333333332
Alabama,2020,3,451835,6.566666666666666
Alabama,2020,4,333423,4.8999999999999995
Alabama,2021,1,266561,3.9333333333333336
Alabama,2021,2,240165,3.533333333333333
Alabama,2021,3,216488,3.1999999999999997
Alabama,2021,4,191987,2.8000000000000003
Alabama,2022,1,177287,2.566666666666667
Alabama,2022,2,174083,2.533333333333333
Alabama,2022,3,180097,2.6
Alabama,2022,4,180598,2.6
Alabama,2023,1,167575,2.466666666666667
Alabama,2023,2,153244,2.2
Alabama,2023,3,147558,2.1333333333333333
Alaska,2014,1,75545,6.900000000000001
Alaska,2014,2,75393,6.900000000000001
Alaska,2014,3,73882,6.766666666666667
Alaska,2014,4,69930,6.3999999999999995
Alaska,2015,1,68238,6.266666666666667
Alaska,2015,2,68390,6.3
Alaska,2015,3,67706,6.2
Alaska,2015,4,68662,6.333333333333333
Alaska,2016,1,70238,6.466666666666666
Alaska,2016,2,71406,6.566666666666666
Alaska,2016,3,72295,6.666666666666667
Alaska,2016,4,72604,6.7
Alaska,2017,1,71176,6.566666666666666
Alaska,2017,2,70442,6.5
Alaska,2017,3,70497,6.5
Alaska,2017,4,69432,6.466666666666666
Alaska,2018,1,67386,6.3
Alaska,2018,2,64093,6.0
Alaska,2018,3,62683,5.900000000000001
Alaska,2018,4,63469,5.966666666666666
Alaska,2019,1,61920,5.866666666666667
Alaska,2019,2,59322,5.599999999999999
Alaska,2019,3,59068,5.566666666666666
Alaska,2019,4,56778,5.333333333333333
Alaska,2020,1,57430,5.433333333333334
Alaska,2020,2,120916,11.700000000000001
Alaska,2020,3,91973,8.833333333333334
Alaska,2020,4,75554,7.266666666666667
Alaska,2021,1,74148,7.066666666666666
Alaska,2021,2,72885,6.866666666666667
Alaska,2021,3,66081,6.233333333333333
Alaska,2021,4,59191,5.566666666666666
Alaska,2022,1,50389,4.7
Alaska,2022,2,42355,3.9666666666666663
Alaska,2022,3,39684,3.6999999999999997
Alaska,2022,4,40044,3.733333333333333
Alaska,2023,1,40263,3.766666666666667
Alaska,2023,2,39096,3.6666666666666665
Alaska,2023,3,42320,3.933333333333333
Arizona,2014,1,660272,7.1000000000000005
Arizona,2014,2,640279,6.866666666666667
Arizona,2014,3,629174,6.7
Arizona,2014,4,617629,6.5
Arizona,2015,1,598303,6.3
Arizona,2015,2,586448,6.133333333333333
Arizona,2015,3,578227,6.033333333333334
Arizona,2015,4,561970,5.833333333333333
Arizona,2016,1,546072,5.633333333333333
Arizona,2016,2,537918,5.533333333333334
Arizona,2016,3,531825,5.433333333333334
Arizona,2016,4,524332,5.333333333333333
Arizona,2017,1,496931,5.166666666666667
Arizona,2017,2,481242,4.966666666666667
Arizona,2017,3,473223,4.866666666666667
Arizona,2017,4,475631,4.9
Arizona,2018,1,474547,4.833333333333333
Arizona,2018,2,464632,4.7
Arizona,2018,3,476027,4.733333333333333
Arizona,2018,4,504616,4.966666666666667
Arizona,2019,1,506618,4.966666666666667
Arizona,2019,2,491919,4.8
Arizona,2019,3,491334,4.766666666666667
Arizona,2019,4,492131,4.7
Arizona,2020,1,504749,4.833333333333333
Arizona,2020,2,1187912,11.566666666666668
Arizona,2020,3,850629,8.166666666666666
Arizona,2020,4,714882,6.8
Arizona,2021,1,652971,6.2
Arizona,2021,2,583811,5.5
Arizona,2021,3,493641,4.7
Arizona,2021,4,416218,3.9
Arizona,2022,1,386405,3.6
Arizona,2022,2,397309,3.6999999999999997
Arizona,2022,3,432647,3.966666666666667
Arizona,2022,4,440344,4.033333333333333
Arizona,2023,1,404665,3.6666666666666665
Arizona,2023,2,379251,3.4333333333333336
Arizona,2023,3,424031,3.8000000000000003
Arkansas,2014,1,250370,6.333333333333333
Arkansas,2014,2,236837,5.966666666666666
Arkansas,2014,3,229004,5.733333333333333
Arkansas,2014,4,222754,5.566666666666666
Arkansas,2015,1,218151,5.433333333333334
Arkansas,2015,2,209155,5.2
Arkansas,2015,3,192046,4.766666666666667
Arkansas,2015,4,176963,4.3999999999999995
Arkansas,2016,1,166088,4.1000000000000005
Arkansas,2016,2,161168,4.0
Arkansas,2016,3,159682,3.966666666666667
Arkansas,2016,4,156338,3.8666666666666667
Arkansas,2017,1,150253,3.733333333333333
Arkansas,2017,2,148622,3.7000000000000006
Arkansas,2017,3,151445,3.733333333333333
Arkansas,2017,4,152923,3.7999999999999994
Arkansas,2018,1,151926,3.766666666666667
