State and area,Year,Total,Rate
Alabama,2014,1750298,6.733333333333333
Alabama,2015,1580814,6.125
Alabama,2016,1521869,5.908333333333334
Alabama,2017,1195671,4.508333333333334
Alabama,2018,1055694,3.9416666666666664
Alabama,2019,868716,3.1833333333333336
Alabama,2020,1741742,6.425
Alabama,2021,915201,3.3666666666666667
Alabama,2022,712065,2.575
Alabama,2023,468377,2.266666666666667
Alaska,2014,294750,6.741666666666667
Alaska,2015,272996,6.2749999999999995
Alaska,2016,286543,6.6000000000000005
Alaska,2017,281547,6.508333333333333
Alaska,2018,257631,6.041666666666667
Alaska,2019,237088,5.591666666666666
Alaska,2020,345873,8.308333333333334
Alaska,2021,272305,6.433333333333334
Alaska,2022,172472,4.0249999999999995
Alaska,2023,121679,3.788888888888889
Arizona,2014,2547354,6.791666666666667
Arizona,2015,2324948,6.075
Arizona,2016,2140147,5.483333333333333
Arizona,2017,1927027,4.9750000000000005
Arizona,2018,1919822,4.808333333333334
Arizona,2019,1982002,4.808333333333334
Arizona,2020,3258172,7.841666666666666
Arizona,2021,2146641,5.075
Arizona,2022,1656705,3.8249999999999997
Arizona,2023,1207947,3.6333333333333337
Arkansas,2014,938965,5.8999999999999995
Arkansas,2015,796315,4.95
Arkansas,2016,643276,3.983333333333333
Arkansas,2017,603243,3.7416666666666667
Arkansas,2018,589842,3.658333333333333
Arkansas,2019,568419,3.4916666666666667
Arkansas,2020,1000761,6.2
Arkansas,2021,652878,4.075
Arkansas,2022,544195,3.3000000000000003
Arkansas,2023,356039,2.8777777777777778
California,2014,16947313,7.566666666666666
California,2015,14103517,6.2250000000000005
California,2016,12585787,5.516666666666667
California,2017,11135681,4.833333333333333
California,2018,9855374,4.258333333333334
California,2019,9537168,4.1000000000000005
California,2020,23091457,10.200000000000001
California,2021,16669519,7.325
California,2022,9648188,4.183333333333334
California,2023,7850078,4.5
Colorado,2014,1671539,4.983333333333333
Colorado,2015,1264481,3.7416666666666667
Colorado,2016,1088902,3.1333333333333333
Colorado,2017,930981,2.6083333333333334
Colorado,2018,1114990,3.0500000000000003
Colorado,2019,995359,2.6666666666666665
Colorado,2020,2501974,6.766666666666667
Colorado,2021,2067936,5.458333333333333
Colorado,2022,1158823,3.016666666666667
Colorado,2023,843809,2.9
Connecticut,2014,1500894,6.616666666666667
Connecticut,2015,1274128,5.616666666666667
Connecticut,2016,1106136,4.866666666666666
Connecticut,2017,1018648,4.416666666666667
Connecticut,2018,895752,3.8833333333333333
Connecticut,2019,837877,3.608333333333333
Connecticut,2020,1796532,7.966666666666666
Connecticut,2021,1396430,6.291666666666667
Connecticut,2022,963880,4.158333333333333
Connecticut,2023,642000,3.7333333333333334
Delaware,2014,303908,5.608333333333333
Delaware,2015,265772,4.791666666666667
Delaware,2016,254927,4.5249999999999995
Delaware,2017,254966,4.466666666666667
Delaware,2018,214387,3.7083333333333335
Delaware,2019,209592,3.591666666666667
Delaware,2020,439221,7.508333333333333
Delaware,2021,326344,5.5
Delaware,2022,267719,4.491666666666666
Delaware,2023,193436,4.288888888888889
District of Columbia,2014,351319,7.708333333333333
District of Columbia,2015,322215,6.916666666666667
District of Columbia,2016,295835,6.233333333333333
District of Columbia,2017,287404,6.1000000000000005
District of Columbia,2018,269577,5.683333333333334
District of Columbia,2019,263312,5.4750000000000005
District of Columbia,2020,363525,7.883333333333333
District of Columbia,2021,310272,6.833333333333333
District of Columbia,2022,215763,4.616666666666666
