State,Year,Unemployment,Rate,Latitude,Longitude
Alabama,2014,1750298,6.733333333,32.31823,-86.902298
Alabama,2015,1580814,6.125,32.31823,-86.902298
Alabama,2016,1521869,5.908333333,32.31823,-86.902298
Alabama,2017,1195671,4.508333333,32.31823,-86.902298
Alabama,2018,1055694,3.941666667,32.31823,-86.902298
Alabama,2019,868716,3.183333333,32.31823,-86.902298
Alabama,2020,1741742,6.425,32.31823,-86.902298
Alabama,2021,915201,3.366666667,32.31823,-86.902298
Alabama,2022,712065,2.575,32.31823,-86.902298
Alabama,2023,468377,2.266666667,32.31823,-86.902298
Alaska,2014,294750,6.741666667,66.160507,-153.369141
Alaska,2015,272996,6.275,66.160507,-153.369141
Alaska,2016,286543,6.6,66.160507,-153.369141
Alaska,2017,281547,6.508333333,66.160507,-153.369141
Alaska,2018,257631,6.041666667,66.160507,-153.369141
Alaska,2019,237088,5.591666667,66.160507,-153.369141
Alaska,2020,345873,8.308333333,66.160507,-153.369141
Alaska,2021,272305,6.433333333,66.160507,-153.369141
Alaska,2022,172472,4.025,66.160507,-153.369141
Alaska,2023,121679,3.788888889,66.160507,-153.369141
Arizona,2014,2547354,6.791666667,34.048927,-111.093735
Arizona,2015,2324948,6.075,34.048927,-111.093735
Arizona,2016,2140147,5.483333333,34.048927,-111.093735
Arizona,2017,1927027,4.975,34.048927,-111.093735
Arizona,2018,1919822,4.808333333,34.048927,-111.093735
Arizona,2019,1982002,4.808333333,34.048927,-111.093735
Arizona,2020,3258172,7.841666667,34.048927,-111.093735
Arizona,2021,2146641,5.075,34.048927,-111.093735
Arizona,2022,1656705,3.825,34.048927,-111.093735
Arizona,2023,1207947,3.633333333,34.048927,-111.093735
Arkansas,2014,938965,5.9,34.799999,-92.199997
Arkansas,2015,796315,4.95,34.799999,-92.199997
Arkansas,2016,643276,3.983333333,34.799999,-92.199997
Arkansas,2017,603243,3.741666667,34.799999,-92.199997
Arkansas,2018,589842,3.658333333,34.799999,-92.199997
Arkansas,2019,568419,3.491666667,34.799999,-92.199997
Arkansas,2020,1000761,6.2,34.799999,-92.199997
Arkansas,2021,652878,4.075,34.799999,-92.199997
Arkansas,2022,544195,3.3,34.799999,-92.199997
Arkansas,2023,356039,2.877777778,34.799999,-92.199997
California,2014,16947313,7.566666667,36.778259,-119.417931
California,2015,14103517,6.225,36.778259,-119.417931
California,2016,12585787,5.516666667,36.778259,-119.417931
California,2017,11135681,4.833333333,36.778259,-119.417931
California,2018,9855374,4.258333333,36.778259,-119.417931
California,2019,9537168,4.1,36.778259,-119.417931
California,2020,23091457,10.2,36.778259,-119.417931
California,2021,16669519,7.325,36.778259,-119.417931
California,2022,9648188,4.183333333,36.778259,-119.417931
California,2023,7850078,4.5,36.778259,-119.417931
Colorado,2014,1671539,4.983333333,39.113014,-105.358887
Colorado,2015,1264481,3.741666667,39.113014,-105.358887
Colorado,2016,1088902,3.133333333,39.113014,-105.358887
Colorado,2017,930981,2.608333333,39.113014,-105.358887
Colorado,2018,1114990,3.05,39.113014,-105.358887
Colorado,2019,995359,2.666666667,39.113014,-105.358887
Colorado,2020,2501974,6.766666667,39.113014,-105.358887
Colorado,2021,2067936,5.458333333,39.113014,-105.358887
Colorado,2022,1158823,3.016666667,39.113014,-105.358887
Colorado,2023,843809,2.9,39.113014,-105.358887
Connecticut,2014,1500894,6.616666667,41.599998,-72.699997
Connecticut,2015,1274128,5.616666667,41.599998,-72.699997
Connecticut,2016,1106136,4.866666667,41.599998,-72.699997
Connecticut,2017,1018648,4.416666667,41.599998,-72.699997
Connecticut,2018,895752,3.883333333,41.599998,-72.699997
Connecticut,2019,837877,3.608333333,41.599998,-72.699997
Connecticut,2020,1796532,7.966666667,41.599998,-72.699997
Connecticut,2021,1396430,6.291666667,41.599998,-72.699997
Connecticut,2022,963880,4.158333333,41.599998,-72.699997
Connecticut,2023,642000,3.733333333,41.599998,-72.699997
Delaware,2014,303908,5.608333333,39,-75.5
Delaware,2015,265772,4.791666667,39,-75.5
Delaware,2016,254927,4.525,39,-75.5
Delaware,2017,254966,4.466666667,39,-75.5
Delaware,2018,214387,3.708333333,39,-75.5
Delaware,2019,209592,3.591666667,39,-75.5
Delaware,2020,439221,7.508333333,39,-75.5
Delaware,2021,326344,5.5,39,-75.5
Delaware,2022,267719,4.491666667,39,-75.5
Delaware,2023,193436,4.288888889,39,-75.5
District of Columbia,2014,351319,7.708333333,38.907192,-77.036871
District of Columbia,2015,322215,6.916666667,38.907192,-77.036871
District of Columbia,2016,295835,6.233333333,38.907192,-77.036871
District of Columbia,2017,287404,6.1,38.907192,-77.036871
District of Columbia,2018,269577,5.683333333,38.907192,-77.036871
District of Columbia,2019,263312,5.475,38.907192,-77.036871
District of Columbia,2020,363525,7.883333333,38.907192,-77.036871
District of Columbia,2021,310272,6.833333333,38.907192,-77.036871
District of Columbia,2022,215763,4.616666667,38.907192,-77.036871
District of Columbia,2023,172237,4.911111111,38.907192,-77.036871
Florida,2014,7380484,6.433333333,27.994402,-81.760254
Florida,2015,6387919,5.525,27.994402,-81.760254
Florida,2016,5788454,4.916666667,27.994402,-81.760254
Florida,2017,5139528,4.3,27.994402,-81.760254
Florida,2018,4431643,3.65,27.994402,-81.760254
Florida,2019,4010119,3.25,27.994402,-81.760254
Florida,2020,9853261,8.175,27.994402,-81.760254
Florida,2021,5782471,4.658333333,27.994402,-81.760254
Florida,2022,3749001,2.9,27.994402,-81.760254
Florida,2023,2618916,2.644444444,27.994402,-81.760254
Georgia,2014,4069065,7.141666667,33.247875,-83.441162
Georgia,2015,3446929,6.075,33.247875,-83.441162
Georgia,2016,3222338,5.466666667,33.247875,-83.441162
Georgia,2017,2919511,4.758333333,33.247875,-83.441162
Georgia,2018,2456778,4,33.247875,-83.441162
Georgia,2019,2216147,3.575,33.247875,-83.441162
Georgia,2020,3943514,6.483333333,33.247875,-83.441162
Georgia,2021,2429833,3.916666667,33.247875,-83.441162
Georgia,2022,1907054,3.033333333,33.247875,-83.441162
Georgia,2023,1517870,3.188888889,33.247875,-83.441162
Hawaii,2014,337742,4.233333333,19.741755,-155.844437
Hawaii,2015,275156,3.416666667,19.741755,-155.844437
Hawaii,2016,235444,2.891666667,19.741755,-155.844437
Hawaii,2017,184000,2.216666667,19.741755,-155.844437
Hawaii,2018,199315,2.408333333,19.741755,-155.844437
Hawaii,2019,207633,2.516666667,19.741755,-155.844437
Hawaii,2020,934477,11.85833333,19.741755,-155.844437
Hawaii,2021,485113,6.016666667,19.741755,-155.844437
Hawaii,2022,281739,3.475,19.741755,-155.844437
