State and area,Year,Month,Total,Rate
Alabama,2014,1,155029 ,7.2
Alabama,2014,2,154223 ,7.1
Alabama,2014,3,153166 ,7.1
Alabama,2014,4,151835 ,7
Alabama,2014,5,150017 ,6.9
Alabama,2014,6,147853 ,6.8
Alabama,2014,7,145597 ,6.7
Alabama,2014,8,143429 ,6.6
Alabama,2014,9,141250 ,6.5
Alabama,2014,10,138693 ,6.4
Alabama,2014,11,135813 ,6.3
Alabama,2014,12,133393 ,6.2
Alabama,2015,1,131985 ,6.1
Alabama,2015,2,131673 ,6.1
Alabama,2015,3,132024 ,6.1
Alabama,2015,4,132614 ,6.1
Alabama,2015,5,133049 ,6.1
Alabama,2015,6,132988 ,6.2
Alabama,2015,7,132483 ,6.2
Alabama,2015,8,131805 ,6.2
Alabama,2015,9,131083 ,6.1
Alabama,2015,10,130565 ,6.1
Alabama,2015,11,130370 ,6.1
Alabama,2015,12,130175 ,6.1
Alabama,2016,1,129747 ,6.1
Alabama,2016,2,129076 ,6
Alabama,2016,3,128044 ,6
Alabama,2016,4,126915 ,5.9
Alabama,2016,5,126223 ,5.9
Alabama,2016,6,126105 ,5.9
Alabama,2016,7,126331 ,5.9
Alabama,2016,8,126719 ,5.9
Alabama,2016,9,127128 ,5.9
Alabama,2016,10,126983 ,5.9
Alabama,2016,11,125661 ,5.8
Alabama,2016,12,122937 ,5.7
Alabama,2017,1,120103 ,5.5
Alabama,2017,2,115408 ,5.2
Alabama,2017,3,110588 ,5
Alabama,2017,4,105981 ,4.8
Alabama,2017,5,101609 ,4.6
Alabama,2017,6,97770 ,4.4
Alabama,2017,7,94743 ,4.3
Alabama,2017,8,92374 ,4.2
Alabama,2017,9,90569 ,4.1
Alabama,2017,10,89320 ,4
Alabama,2017,11,88709 ,4
Alabama,2017,12,88497 ,4
Alabama,2018,1,88075 ,4
Alabama,2018,2,88440 ,4
Alabama,2018,3,88903 ,4
Alabama,2018,4,89251 ,4
Alabama,2018,5,89436 ,4
Alabama,2018,6,89286 ,4
Alabama,2018,7,88697 ,4
Alabama,2018,8,87982 ,3.9
Alabama,2018,9,87344 ,3.9
Alabama,2018,10,86770 ,3.9
Alabama,2018,11,86179 ,3.8
Alabama,2018,12,85331 ,3.8
