State,Year,Population,Latitude,Longitude,Code,income
Alabama,2014,4849377,32.31823,-86.902298,AL,36729
Alabama,2015,4858979,32.31823,-86.902298,AL,38197
Alabama,2016,4863300,32.31823,-86.902298,AL,38712
Alabama,2017,4874747,32.31823,-86.902298,AL,39975
Alabama,2018,4887871,32.31823,-86.902298,AL,41330
Alabama,2019,4903185,32.31823,-86.902298,AL,43004
Alabama,2020,5024279,32.31823,-86.902298,AL,45887
Alabama,2021,5039877,32.31823,-86.902298,AL,50059
Alabama,2022,5074296,32.31823,-86.902298,AL,50916
Alaska,2014,736732,66.160507,-153.369141,AK,55098
Alaska,2015,738432,66.160507,-153.369141,AK,56714
Alaska,2016,741894,66.160507,-153.369141,AK,55535
Alaska,2017,739795,66.160507,-153.369141,AK,56499
Alaska,2018,737438,66.160507,-153.369141,AK,58997
Alaska,2019,731545,66.160507,-153.369141,AK,60569
Alaska,2020,733391,66.160507,-153.369141,AK,61898
Alaska,2021,732673,66.160507,-153.369141,AK,65662
Alaska,2022,733583,66.160507,-153.369141,AK,68635
Arizona,2014,6731484,34.048927,-111.093735,AZ,38220
Arizona,2015,6828065,34.048927,-111.093735,AZ,39836
Arizona,2016,6931071,34.048927,-111.093735,AZ,41122
Arizona,2017,7016270,34.048927,-111.093735,AZ,43208
Arizona,2018,7171646,34.048927,-111.093735,AZ,45260
Arizona,2019,7278717,34.048927,-111.093735,AZ,47693
Arizona,2020,7151502,34.048927,-111.093735,AZ,52133
Arizona,2021,7276316,34.048927,-111.093735,AZ,56420
Arizona,2022,7359197,34.048927,-111.093735,AZ,58442
Arkansas,2014,2966369,34.799999,-92.199997,AR,38218
Arkansas,2015,2978204,34.799999,-92.199997,AR,39266
Arkansas,2016,2988248,34.799999,-92.199997,AR,40179
Arkansas,2017,3004279,34.799999,-92.199997,AR,41402
Arkansas,2018,3013825,34.799999,-92.199997,AR,43029
Arkansas,2019,3017804,34.799999,-92.199997,AR,43751
Arkansas,2020,3011524,34.799999,-92.199997,AR,47147
Arkansas,2021,3025891,34.799999,-92.199997,AR,51636
Arkansas,2022,3045637,34.799999,-92.199997,AR,52618
California,2014,38802500,36.778259,-119.417931,CA,50619
California,2015,39144818,36.778259,-119.417931,CA,53817
California,2016,39250017,36.778259,-119.417931,CA,55863
California,2017,39536653,36.778259,-119.417931,CA,58214
California,2018,39557045,36.778259,-119.417931,CA,60984
California,2019,39512223,36.778259,-119.417931,CA,64174
California,2020,39538223,36.778259,-119.417931,CA,70061
California,2021,39237836,36.778259,-119.417931,CA,76991
California,2022,39029342,36.778259,-119.417931,CA,77036
Colorado,2014,5355866,39.113014,-105.358887,CO,50244
Colorado,2015,5456574,39.113014,-105.358887,CO,51394
Colorado,2016,5540545,39.113014,-105.358887,CO,51306
Colorado,2017,5607154,39.113014,-105.358887,CO,54171
Colorado,2018,5695564,39.113014,-105.358887,CO,57794
Colorado,2019,5758736,39.113014,-105.358887,CO,61258
Colorado,2020,5773714,39.113014,-105.358887,CO,64852
Colorado,2021,5812069,39.113014,-105.358887,CO,71923
Colorado,2022,5839926,39.113014,-105.358887,CO,75722
Connecticut,2014,3596677,41.599998,-72.699997,CT,64482
Connecticut,2015,3590886,41.599998,-72.699997,CT,66220
Connecticut,2016,3576452,41.599998,-72.699997,CT,67550
Connecticut,2017,3588184,41.599998,-72.699997,CT,69146
Connecticut,2018,3572665,41.599998,-72.699997,CT,72157
Connecticut,2019,3565287,41.599998,-72.699997,CT,74173
Connecticut,2020,3605944,41.599998,-72.699997,CT,77383
Connecticut,2021,3605597,41.599998,-72.699997,CT,80691
Connecticut,2022,3626205,41.599998,-72.699997,CT,82938
Delaware,2014,935614,39,-75.5,DE,45364
Delaware,2015,945934,39,-75.5,DE,47244
Delaware,2016,952065,39,-75.5,DE,48192
Delaware,2017,961939,39,-75.5,DE,50002
Delaware,2018,967171,39,-75.5,DE,52674
Delaware,2019,973764,39,-75.5,DE,53746
Delaware,2020,989948,39,-75.5,DE,55778
Delaware,2021,1003384,39,-75.5,DE,58889
Delaware,2022,1018396,39,-75.5,DE,63243
Florida,2014,19893297,27.994402,-81.760254,FL,42865
Florida,2015,20271272,27.994402,-81.760254,FL,44945
Florida,2016,20612439,27.994402,-81.760254,FL,45720
Florida,2017,20984400,27.994402,-81.760254,FL,48439
Florida,2018,21299325,27.994402,-81.760254,FL,51009
Florida,2019,21477737,27.994402,-81.760254,FL,53640
Florida,2020,21538187,27.994402,-81.760254,FL,56561
Florida,2021,21781128,27.994402,-81.760254,FL,63078
Florida,2022,22244823,27.994402,-81.760254,FL,64806
Georgia,2014,10097343,33.247875,-83.441162,GA,39551
Georgia,2015,10214860,33.247875,-83.441162,GA,41529
Georgia,2016,10310371,33.247875,-83.441162,GA,42744
Georgia,2017,10429379,33.247875,-83.441162,GA,44838
Georgia,2018,10519475,33.247875,-83.441162,GA,46626
Georgia,2019,10617423,33.247875,-83.441162,GA,48535
Georgia,2020,10711908,33.247875,-83.441162,GA,51469
Georgia,2021,10799566,33.247875,-83.441162,GA,56184
Georgia,2022,10912876,33.247875,-83.441162,GA,56589
Idaho,2014,1634464,44.068203,-114.742043,ID,37128
Idaho,2015,1654930,44.068203,-114.742043,ID,38838
Idaho,2016,1683140,44.068203,-114.742043,ID,39676
Idaho,2017,1716943,44.068203,-114.742043,ID,41218
Idaho,2018,1754208,44.068203,-114.742043,ID,43270
Idaho,2019,1787065,44.068203,-114.742043,ID,45917
Idaho,2020,1839106,44.068203,-114.742043,ID,49691
Idaho,2021,1900923,44.068203,-114.742043,ID,54148
Idaho,2022,1939033,44.068203,-114.742043,ID,56614
Illinois,2014,12880580,40,-89,IL,48531
Illinois,2015,12859995,40,-89,IL,50682
Illinois,2016,12801539,40,-89,IL,51340
Illinois,2017,12802023,40,-89,IL,53049
Illinois,2018,12741080,40,-89,IL,56072
Illinois,2019,12671821,40,-89,IL,57721
Illinois,2020,12812508,40,-89,IL,61587
Illinois,2021,12671469,40,-89,IL,67278
Illinois,2022,12582032,40,-89,IL,67655
Indiana,2014,6596855,40.273502,-86.126976,IN,40721
Indiana,2015,6619680,40.273502,-86.126976,IN,42149
Indiana,2016,6633053,40.273502,-86.126976,IN,43145
Indiana,2017,6666818,40.273502,-86.126976,IN,44570
Indiana,2018,6691878,40.273502,-86.126976,IN,46556
Indiana,2019,6732219,40.273502,-86.126976,IN,48270
Indiana,2020,6785528,40.273502,-86.126976,IN,51719
Indiana,2021,6805985,40.273502,-86.126976,IN,56934
